"card_type","card_type_name","card_id","title","scheme","display_arrow","pic","title_sub","desc1","desc2","card_display_type","buttons","right_pannel","itemid"
"8","","near_poi_7","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D065A7FF469B&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/6f869b82gy1ffxq2wtu95j20zk0qo10j.jpg","金文泰购物中心","[星星][星星][星星][星星][星星] 9.9 / 464人推荐","商场，Clementi Avenue 3","1","[]","[]","1001018006500000000000000_-_near_poi_7"
"8","","near_poi_8","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D06AA1F8469F&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/9d83718bgw1f6sg7de1jmj22io1w0npd.jpg","宏茂桥城","[星星][星星][星星][星星][半星] 9.0 / 467人推荐","商场，53 Ang Mo Kio Avenue 3 Singapore 569933","1","[]","[]","1001018006500000000000000_-_near_poi_8"
"8","","near_poi_0","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D169A2F4469D&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/74851a2fjw1fag1y4ke4zj22c02c0x6p.jpg","新加坡安国酒店(Amara Singapore)","新加坡·酒店 第20名 (共197家)","[星星][星星][星星][星星][空星] 7.5 / 547人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_0"
"8","","near_poi_1","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094750D36EA3FA419C&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww3.sinaimg.cn/wap180/4e704b16jw1e7gsi9ek0oj209p09pwfo.jpg","新加坡泛太平洋酒店(Pan Pacific Singapore)","新加坡·酒店 第6名 (共197家)","[星星][星星][星星][星星][空星] 7.7 / 686人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_1"
"8","","near_poi_2","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B209445DD36DA1F4469A&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww2.sinaimg.cn/large/4e704b16jw1ewg54ety2aj205k05kdg4.jpg","远东购物中心","[星星][星星][星星][星星][空星] 8.0 / 331人推荐","购物服务，新加坡新加坡远东购物中心","1","[]","[]","1001018006500000000000000_-_near_poi_2"
"8","","near_poi_3","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16FA5FA429B&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/694e8b26gy1ffont7bo1aj20zk0qo7ca.jpg","新加坡薰衣草V酒店","新加坡·酒店 第30名 (共197家)","[星星][星星][星星][星星][空星] 7.9 / 409人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_3"
"8","","near_poi_4","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16DA7F84492&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/640e0992gw1f3u2ulhhsdj20qo0zkgsz.jpg","牛车水地铁站","[星星][星星][星星][星星][半星] 9.1 / 376人推荐","地铁站，36TempleStreet","1","[]","[]","1001018006500000000000000_-_near_poi_4"
"8","","near_poi_5","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094457D36BA4F54692&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/81367d2egy1fk7lr2uaikj21mc1mch8u.jpg","Marina Bay Sands","新加坡·酒店 第5名 (共197家)","[星星][星星][星星][星星][空星] 8.1 / 2848人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_5"
"8","","near_poi_6","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094757D16DA5F84492&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://wx4.sinaimg.cn/thumb180/a43c3a03gy1ffz3zga9brj22io1w01kx.jpg","新加坡国立大学中央图书馆","[星星][星星][星星][半星][空星] 7.2 / 651人推荐","图书馆，12 Kent Ridge CrescentSingapore 119275","1","[]","[]","1001018006500000000000000_-_near_poi_6"
"8","","near_poi_7","","https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094751D36AA7F84492&luicode=10000011&lfid=1001018006500000000000000_-_poilist","1","https://ww1.sinaimg.cn/wap180/4e704b16jw1f38q5noxf7j20c80c8q4y.jpg","松发肉骨茶","新加坡·美食 第1名 (共7306家)","[星星][星星][星星][星星][半星] 8.6 / 974人推荐","1","[]","[]","1001018006500000000000000_-_near_poi_7"
